Retailer,2025-01-01,2025-02-01,2025-03-01,2025-04-01,2025-05-01,2025-06-01,2025-07-01,2025-08-01,2025-09-01,2025-10-01
	clarks,6.367189178,5.604303511,6.01171435,6.828718178,6.901408451,6.903870693,6.98108624,8.023422348,6.111619241,7.482878953
	lego,7.434462773,6.849597347,8.179914327,10.64057358,10.73024212,9.337037877,9.627171492,8.642249836,7.260821062,7.141365811
	fossilgroup,14.57255343,14.53222719,16.11738294,16.23822163,19.68417639,20.62960526,22.82079791,24.30247718,20.6673428,21.23784494
	footasylum,4.451671733,3.887919463,4.728082192,6.446131598,7.739067055,7.057875458,7.098457017,6.965616046,4.236690647,4.243109541
	whitestuff,21.35282838,16.87948207,20.74853229,19.98412698,18.36372745,18.4457478,15.87623762,16.1380999,18.97853659,16.40584089
	williams,12.92691952,8.131097561,9.819172113,7.762954796,9.375709421,9.584795322,9.927738928,14.34117647,11.58382878,10.50060024
	lornajaneoms,2.406936416,2.061124694,2.047503045,2.218072289,2.250297974,2.267131243,2.574052813,2.65153235,2.636563877,2.60460251
	deseret,3.507757405,2.81872214,3.143067847,3.339595376,3.379008746,3.071641791,3.242057489,3.139130435,2.804285714,3.087601078
	roots,3.607371795,1.918333333,1.959866221,1.743348983,2.119155354,2.333333333,2.313271605,2.061377246,2.247093023,2.633027523
	sweatybetty,12.69642857,10.88481675,13.88773748,12.6619469,14.37241379,14.31944444,15.39253996,12.95263158,11.44035088,9.702359347
	rmwilliams,6.4086629,6.057142857,5.707224335,5.654064272,6.402930403,7.31598513,7.795497186,8.90037594,8.724264706,6.839708561
	allsaints,3.826666667,4.80952381,6.822580645,10.69855072,10.99558499,13.51428571,16.41151079,16.2526178,14.85852479,13.49580838
	kurtgeiger,5.596491228,4.464285714,5.224489796,4.828037383,10.10992366,7.585780526,10.7109375,9.842962963,6.388961892,6.04556962
	untuckit,6.127118644,5.883002208,6.118790497,6.443037975,9.758196721,9.494845361,8.728601253,9.736170213,9.041125541,9.441364606
	wolverineusa,16.45406824,15.18465909,19.31420765,16.98102981,18.74666667,18.86449864,18.87765957,19.34828496,14.34357542,12.76704545
	marine-layer,7.209726444,6.96039604,8.498381877,10.08681672,12.35757576,12.49415205,12.38505747,12.32402235,13.3539823,9.323450135
	windsor,5.643292683,4.218844985,4.919504644,4.547692308,4.464831804,4.237082067,4.421538462,4.623100304,5.009174312,4.201834862
	vince,7.93597561,7.311111111,9.249221184,7.759259259,12.6443769,12.03809524,11.60443038,12.31481481,12.76807229,10.92944785
	ctshirts,0,0,2.826086957,3.466666667,5.271126761,5.322799097,4.531468531,3.552447552,3.532445923,4.054635762
	faherty,5.669642857,5.251781473,6.588100686,7.653579677,3.257211538,0.1128526646,0.04861111111,0,0,0
	ganni,7.645614035,5.761565836,7.594795539,6.475836431,6.65942029,8.8046875,8.858870968,7.428571429,7.553784861,9.937238494
	vbretail,18.54017857,17,25.88695652,33.13080169,51.67346939,44.75836431,53.81918819,54.13602941,58.60536398,56.98154982
	mathers,15.00306748,7.064150943,8.061538462,6.616858238,7.682352941,7.580645161,7.068965517,23.73364486,9.85645933,7.473933649
	rapha,7.296482412,6.101522843,6.427184466,7.455399061,8.842857143,8.405940594,9.754901961,10.32512315,7.135678392,7.808823529
	burton,8.004149378,6.399176955,7.259090909,4.622857143,4.093023256,4.672955975,4.1875,5.52027027,5.342541436,6.125581395
	shinola,6.68877551,5.678947368,7.523316062,8.162921348,10.08994709,8.243093923,7.738636364,8.5,7.475409836,8.154696133
	seagull,4.661904762,4.532663317,4.259803922,4.384210526,4.078212291,4.134146341,4.382352941,4.402366864,4.513888889,3.75
	djconcession,3.301886792,2.48,2.725,2.230769231,2.836956522,2.862637363,3.081395349,3.563535912,2.744565217,2.934065934
	birkenstock,8.396396396,7.297520661,10.72222222,10.91612903,11.76243094,11.19895288,12.69633508,12.51184834,12.94607843,9.855
	5sn,5.318181818,5.25,5.427710843,5.801242236,6.917197452,6.688741722,6.308219178,6.007194245,6.217391304,6.725352113
	aninebing,10.12666667,6.917721519,9.398734177,8.144654088,13.90506329,11.61073826,9.253333333,8.135135135,10.02614379,9.97260274
	midas,6.306122449,4.891304348,6.124137931,4.932885906,5.557142857,4.718518519,4.552447552,5.253521127,5.492424242,6.134920635
	trybe,6.593220339,4.210884354,5.577464789,5.446969697,5.928571429,6.291970803,6.23880597,8.26984127,9.195121951,8.875
	bzb,1.181818182,1.1,7.818181818,9.107142857,8.581818182,20.70588235,12.29090909,14.71038251,9.766467066,15.03541667
	appgroup,19.9602649,16.05633803,16.67647059,16.57364341,18.55371901,19.16129032,18.69491525,24.16393443,25.46511628,28.26470588
	cosbar,9.423728814,10.17699115,12.8677686,10.5210084,10.90163934,11.06896552,10.30508475,12.25619835,12,12.04347826
	filson,4.93129771,3.162601626,3.890625,4.166666667,4.042735043,4.486725664,4.41509434,5.273584906,4.85046729,5.76635514
	monkeysports,5.79245283,5.76,6.3,5.826923077,6.854368932,7.277777778,7.239583333,7.160377358,7.595959596,5.673076923
	oroton,0,0,0,0,0,0,2.666666667,3.959183673,7.854285714,6.734072022
	axelarigato,7.782608696,5.821052632,8.112359551,6.731182796,8.154639175,9.336842105,10.83505155,9.410526316,6.676767677,7.777777778
	frame,9.048780488,8.475,13.1038961,8.7625,8.058139535,8.581632653,9.096491228,10.88571429,13.46296296,12.72477064
	mnt,6.597560976,4.792207792,5,4.884057971,6.5,6.791044776,5.97260274,10,6.044776119,5.318181818
	brooksbrothers,9.444444444,5.233333333,5.142857143,6.029411765,5.927536232,6.797297297,9.571428571,7.423076923,6.733333333,6.88
	thrills,9.35,6.384615385,8.586956522,6.8125,6.793650794,6.406779661,6.350877193,6.524590164,6.745454545,5.877192982
	manoloblahnik,3.9375,3.727272727,6.109375,5.93220339,7.418181818,8.679245283,6.444444444,6.245283019,6.472222222,6.086206897
	boardriders,17.8627451,10.59259259,8.094339623,8.245283019,13.06896552,13.47368421,17.32142857,10.5,6.767857143,6.365079365
	leays,0,0,0,0,1.68627451,2.170212766,1.842105263,2.039473684,2.434210526,2.434210526
	paperandtea,30.68085106,29.57142857,31.84782609,32.25,28.0952381,32.18181818,42.22222222,41.11111111,37.24,36.56521739
	ladoublej,2.05,4.842105263,7,8.358974359,6.314285714,7.388888889,6.625,4.46875,6.060606061,5.282051282
	facebook,3.407407407,5.15,4.269230769,6.2,5.212121212,7.966666667,3.769230769,4.9,6.073170732,4.9375
	veja,0,0,0,4,1.75,3.153846154,5.533333333,6.71875,4.880952381,7.648351648
	funko,1.909090909,4.090909091,1.266666667,1.461538462,1.333333333,0.625,2.785714286,1.515151515,1.797468354,2.526315789
	jewells,0,0,0,0,0,6.0625,6.927272727,9.914893617,8.48,10.58536585
	saucony,1.142857143,1.2,1.076923077,0.9166666667,3.666666667,4.857142857,11.03448276,5.387096774,2.612903226,2.964285714
	merrell,3.538461538,2.071428571,2.285714286,3.230769231,3.636363636,3.538461538,8.333333333,6.291666667,3.96,4.727272727
	wolford,8.2,8.75,7.3125,7.4,8.333333333,10.08333333,9.071428571,8.642857143,7.882352941,8.875
	sevenstore,2.769230769,2.142857143,4.533333333,3.866666667,5.333333333,5.153846154,7.384615385,6.181818182,4.583333333,2.090909091
	zimmermann,0,0,0,0,0,0,0,4.217391304,6.290322581,6.487804878
	casablancaparis,0,0,0,0,1.272727273,3.933333333,3.615384615,3.666666667,2.692307692,2.333333333
	offwhite,0,0,0,0,0,3.75,3.25,0,3.590909091,10.65116279
	davidstea,0.1111111111,0,0,0,0,0,0,0,0,0
	lnccfashion,0.3333333333,0,1,2,0.75,1,0.3333333333,0.5,1,1
	jamesavery,0,0,0,0,0,0,0,0,2.444444444,4.125
	triple-a,0,0,0,0,0,0,0,1.6,0.5,2.75
	viseo,23.33333333,13,25.66666667,5,0,0,0,0,0,0
	tryzens,0,0,0,0,0,0,5,0.8,0,1
	mejuri,0,0.125,0,0,0,0,0,0,0,0
	Oroton,0,0,0,0,0,0,3,0.6,0,0
	mammut,0,0,0,0,0,0,0,0,0,2
	universalstore,0,0,1,0,0,0,0,0,0,0
	palmangels,0,0,0,0,0,7,0,0,0,0
	Zimmermann,0,0,0,0,0,0,0,6,0,0
	jmej1,2,0,0,0,0,0,0,0,0,0
	mountfords,0,0,0,0,0,0,0,7,0,0
	lornajane,0,0,0,1,0,0,0,0,0,0
	frankandoak,0,0,0,0,0,0,0,0,0,0
	expcenter,0,0,0,0,0,0,0,0,0,0
